Monday			
11	499	Nonparametric Sharpe Ratio Function Estimation in Heteroscedastic Regression Models via Convex Optimization	Won, Joong-Ho
12	324	SDCA-Powered Inexact Dual Augmented Lagrangian Method for Fast CRF Learning	Hu, Xu
13	212	Natural Gradients in Practice: Non-Conjugate Variational Inference in Gaussian Process Models	Salimbeni, Hugh
14	92	Semi-Supervised Learning with Competitive Infection Models	Rosenfeld, Nir
15	307	Random Subspace with Trees for Feature Selection Under Memory Constraints	Sutera, Antonio
16	478	Bayesian Structure Learning for Dynamic Brain Connectivity	Andersen, Michael
17	77	Riemannian stochastic quasi-Newton algorithm with variance reduction and its convergence analysis	Kasai, Hiroyuki
18	370	Bayesian Nonparametric Poisson-Process Allocation for Time-Sequence Modeling	Ding, Hongyi
19	178	Efficient Bandit Combinatorial Optimization Algorithm with Zero-suppressed Binary Decision Diagrams	Sakaue, Shinsaku
20	78	Online Boosting Algorithms for Multi-label Ranking	Jung, Young Hun
21	338	Guaranteed Sufficient Decrease for Stochastic Variance Reduced Gradient Optimization	Shang, Fanhua
22	281	Community Detection in Hypergraphs: Optimal Statistical Limit and Efficient Algorithms	Lin, Chung-Yi
23	109	Matrix completability analysis via graph k-connectivity	Cheng, Dehua
24	127	A Nonconvex Proximal Splitting Algorithm under Moreau-Yosida Regularization	Laude, Emanuel
25	656	Reducing optimization to repeated classification	Hashimoto, Tatsunori
26	661	Online Ensemble Multi-kernel Learning Adaptive to Non-stationary and Adversarial Environments	Chen, Tianyi
27	181	Transfer Learning on fMRI Datasets	Zhang, Hejia
28	115	Gaussian Process Subset Scanning for Anomalous Pattern Detection in Non-iid Data	Herlands, William
29	142	Nearly second-order optimality of online joint detection and estimation via one-sample update schemes	Cao, Yang
30	66	Outlier Detection and Robust Estimation in Nonparametric Regression	Shen, Weining
31	669	Dimensionality Reduced $\ell^{0}$-Sparse Subspace Clustering	Yang, Yingzhen
32	151	Sum-Product-Quotient Networks	Sharir, Or
33	76	Nonlinear Structured Signal Estimation in High Dimensions via Iterative Hard Thresholding	Yang, Zhuoran
34	626	Efficient Bayesian Methods for Counting Processes in Partially Observable Environments	Jovan, Ferdian
35	245	Stochastic Three-Composite Convex Minimization with a Linear Operator	Zhao, Renbo
36	328	Gradient Layer: Enhancing the Convergence of Adversarial Training for Generative Models	Nitanda, Atsushi
37	666	Bootstrapping EM via Power EM and Convergence in the Naive Bayes Model	Tzamos, Christos
38	448	Kernel Conditional Exponential Family	Arbel, Michael
39	534	Achieving the time of 1-NN, but the accuracy of k-NN	Xue, Lirong
40	384	Bayesian Approaches to Distribution Regression	Law, Ho Chung Leon
41	436	Nested CRP with Hawkes-Gaussian Processes	Tan, Xi
42	32	Mixed Membership Word Embeddings for Computational Social Science	Foulds, James
43	75	Learning Determinantal Point Processes in Sublinear Time	Dupuy, Christophe
44	267	Fully adaptive algorithm for pure exploration in linear bandits	Xu, Liyuan
45	216	Variational inference for the multi-armed contextual bandit	Urteaga, Iñigo
46	167	A Provable Algorithm for Learning Interpretable Scoring Systems	Sokolovska, Nataliya
47	183	An Optimization Approach to Learning Falling Rule Lists	Chen, Chaofan
48-54	Orals papers on Tuesday		
Wednesday 			
1	98	Optimal Cooperative Inference	Yang, Scott Cheng-Hsin
2	277	Human Interaction with Recommendation Systems	Schmit, Sven
3	311	Convex optimization over intersection of simple sets: improved convergence rate guarantees via exact penalty approach	Kundu, Achintya
4	382	Towards Memory-Friendly Deterministic Incremental Gradient Method	Xie, Jiahao
5	120	Independently Interpretable Lasso: A New Regularizer for Sparse Regression with Uncorrelated Variables	Takada, Masaaki
6	72	AdaGeo: Adaptive Geometric Learning for Optimization and Sampling	Abbati, Gabriele
7	482	Large Scale Empirical Risk Minimization via Truncated Adaptive Newton Method	Eisen, Mark
8	644	Labeled Graph Clustering via Projected Gradient Descent	Lim, Shiau Hong
9	94	Discriminative Learning of Prediction Intervals	Rosenfeld, Nir
10	26	Accelerated Stochastic Power Iteration	Xu, Peng
11	244	A Bayesian Nonparametric Method for Clustering Imputation, and Forecasting in Multivariate Time Series	SAAD, FERAS
12	636	Bayesian Multi-label Learning with Sparse Features and Labels	Zhao, He
13	89	Robust Active Label Correction	Igel, Christian
14	371	Factor Analysis on a Graph	Karasuyama, Masayuki
15	532	Reparameterizing the Birkhoff Polytope for Variational Permutation Inference	Mena, Gonzalo
16	389	Provable Estimation of the Number of Blocks in Block Models	YAN, BOWEI
17	237	Batched Large-scale Bayesian Optimization in High-dimensional Spaces	Wang, Zi
18	301	Actor-Critic Fictitious Play in Simultaneous Move Multistage Games	Perolat, Julien
19	525	Online Regression with Partial Information: Generalization and Linear Projection	Ito, Shinji
20	383	Alpha-expansion is Exact on Stable Instances	Lang, Hunter
21	604	Adaptive Sampling for Clustered Ranking	Katariya, Sumeet
22	412	Multiphase MCMC Sampling for Parameter Inference in Nonlinear Ordinary Differential Equations	Lazarus, Alan
23	158	Beating Monte Carlo Integration: a Nonasymptotic Study of Kernel Smoothing Methods	Clémençon, Stephan
24	2	The Geometry of Random Features	Weller, Adrian
25	208	Symmetric Variational Autoencoder and Connections to Adversarial Learning	Chen, Liqun
26	496	Learning Sparse Polymatrix Games in Polynomial Time and Sample Complexity	Ghoshal, Asish
27	367	A Unified Framework for Nonconvex Low-Rank plus Sparse Matrix Recovery	Zhang, Xiao
28	460	Communication-Avoiding Optimization Methods for Massive-Scale Graphical Model Structure Learning	Koanantakool, Penporn
29	358	Accelerated Stochastic Mirror Descent: From Continuous-time Dynamics to Discrete-time Algorithms	Xu, Pan
30	504	On the Statistical Efficiency of Compositional Nonparametric Prediction	Xu, Yixi
31	154	Exploiting Strategy-Space Diversity for Batch Bayesian Optimization	Gupta, Sunil
32	524	Minimax-Optimal Privacy-Preserving Sparse PCA in Distributed Systems	Ge, Jason
33	414	Why adaptively collected data have negative bias and how to correct for it.	Nie, Xinkun
34	513	Generalized Binary Search For Split-Neighborly Problems	Mussmann, Stephen
35	616	Scalable Hash-Based Estimation of Divergence Measures	Noshad Iranzad, Morteza
36	352	Semi-Supervised Prediction-Constrained Topic Models	Hughes, Michael
37	375	Crowdclustering with Partition Labels	Chen, Junxiang
38	325	Generalized Concomitant Multi-Task Lasso for sparse multimodal regression	Massias, Mathurin
39	646	Gradient Diversity: a Key Ingredient for Scalable Distributed Learning	Yin, Dong
40	59	Layerwise Systematic Scan: Deep Boltzmann Machines and Beyond	Guo, Heng
41	113	Multi-view Metric Learning in Vector-valued Kernel Spaces	Huusari, Riikka
42	518	Intersection-Validation: A Method for Evaluating Structure Learning without Ground Truth	Viinikka, Jussi
43-54	Orals papers on Wednesday 		
